day_number,assignment_title,assignment_summary,tracker_prompt,field_key,field_label,field_type,field_required,field_options,field_key_2,field_label_2,field_type_2,field_required_2,field_options_2,field_key_3,field_label_3,field_type_3,field_required_3,field_options_3,field_key_4,field_label_4,field_type_4,field_required_4,field_options_4
63,Regulate before talking,"Before entering a potentially tense conversation, pause for a moment to breathe, set an intention, and calm your body. Regulating first helps you speak from clarity rather than reactivity. Over time, this becomes a foundational communication habit.",Where did pre-regulation help?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
64,Track sensations,"Pay attention to the physical sensations that arise in your body during moments of tension or conflict, such as heat, tightness, or restlessness. Tracking these sensations builds early awareness of emotional shifts. This awareness helps you intervene long before escalation.",What sensations came up?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
65,Micro-assertiveness,"Use one or two clear, simple statements today to express your needs or preferences without over-explaining. Micro-assertiveness helps you practice directness in manageable doses. Over time, it builds confidence and reduces resentment.",What statement did you use?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
66,Warmth + clarity,"Intentionally pair kindness with directness in your communication today so that honesty feels connecting rather than sharp. Warmth softens clarity, and clarity strengthens warmth. This combination builds trust and prevents misunderstandings.",Where did warmth help clarity?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
67,Weekly reflection,"Reflect on how steady, grounded, and emotionally present you were this week. Identify the moments where you handled conflict with more leadership and where you slipped into old habits. Use this reflection to adjust your focus for the coming week.",Where were you steady this week?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
68,Create house rhythm,"Establish a simple rhythm of daily and weekly roles that you take responsibility for consistently. Stable rhythms reduce stress and create reliability in the relationship. This helps both of you feel more supported and less overwhelmed.",What rhythm did you follow?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
69,Communication ritual,"Begin the day by asking your wife, 'What do you need today?' and listen with openness. This ritual builds emotional awareness and connection. Acting on her needs, when reasonable, reinforces partnership and collaboration.",What did she say she needed?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
70,Fix friction point,"Choose one small but persistent friction point in your home or relationship and resolve it today. Tackling small annoyances demonstrates initiative and care. These small repairs add up to a more peaceful daily environment.",What did you fix?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
71,Silent reliability,"Do something genuinely helpful without announcing it or seeking acknowledgment. Quiet acts of support strengthen trust because they show intention rather than performance. Let the action itself communicate your commitment.",Where did you help quietly?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
72,Review commitments,"Look over a month of commitments and note which patterns are improving and which still need reinforcement. This long-view perspective helps you build consistency over time. Use what you notice to refine your habits moving forward.",What patterns did you see?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
73,Repair older promise,"Find an unresolved promise or dropped responsibility from the past and repair it fully today. This shows accountability and emotional maturity. Completing old commitments can restore trust and create a sense of closure for both of you.",What did you repair today?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
74,Weekly check-in,"Discuss reliability with your wife and listen to how recent changes feel from her perspective. Celebrate the areas where trust has grown and take responsibility for any ongoing gaps. Use this conversation to guide next week’s intentions.",Where did trust grow?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
75,Pause & resume,"Take a two-minute pause during a moment of rising tension and then return on time as promised. This builds your skill in regulating without withdrawing. Following through on the return is what strengthens trust.",How did pausing help?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
76,Two-truths method,"Use the structure 'I see your perspective AND I feel…' during a difficult moment to hold both truths without minimizing either. This approach reduces defensiveness and invites collaboration. Practicing this strengthens emotional nuance.",What two truths did you express?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
77,Clean honesty,"Express one clear, non-blaming truth today, focusing on simplicity and sincerity. Clean honesty deepens connection when delivered with warmth and accountability. Avoid over-explaining or softening your message excessively.",What honesty did you express?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
78,Deep listening,"Listen for five minutes during a conversation without interrupting, fixing, or redirecting. This strengthens emotional presence and shows respect for your wife’s experience. Deep listening often diffuses tension by itself.",What did you hear?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
79,One-sentence need,"State one need in a single, direct sentence to practice clarity without defensiveness or overthinking. Simple needs are easier to hear and respond to. This also builds confidence in expressing what matters to you.",What need did you express?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
80,Address past pattern,"Take ownership of one old behavior that has caused friction and acknowledge it calmly. Naming it shows awareness and emotional responsibility. This can open the door to deeper healing and trust.",What pattern did you address?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
81,Weekly check-in,"Reflect on how you handled tension and conflict this week, noting progress, challenges, and emotional leadership moments. Use this reflection to stay steady and intentional. Celebrate the wins and learn from the slips.",What changed in conflict this week?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
82,High-stress plan,"Create a shared plan with your wife for how you will both handle upcoming stressful tasks or events. Planning ahead reduces overwhelm and prevents reactive conflict. This strengthens teamwork and foresight.",What plan did you make?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
83,Be explicit early,"State a need, preference, or boundary early in the day instead of waiting until frustration builds. Early clarity prevents misunderstandings and diffuses potential resentment. The practice reinforces healthy communication habits.",What did you express early?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
84,Attend emotionally,"Check in with your wife’s emotional state today and listen without fixing or redirecting. Being emotionally available strengthens connection and intimacy. This small gesture often creates a sense of partnership and care.",What did she share?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
85,Name internal shift,"Describe one internal change you’ve noticed recently—perhaps more calm, more clarity, or quicker recovery. Naming shifts reinforces your growth and deepens your self-awareness. Sharing this with your wife builds connection.",What shift did you feel?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
86,Celebrate win,"Acknowledge one meaningful positive change in your behavior, however small. Celebrating progress reinforces motivation and builds confidence. It also helps you notice the ways you are truly changing.",What win did you celebrate?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
87,Reaffirm commitments,"Restate your three core commitments—regulation, follow-through, and assertiveness—to reinforce your identity as someone who upholds them. Reaffirming commitments strengthens resolve and demonstrates consistency. This helps both you and your wife feel grounded in your progress.",How did she respond?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
88,Weekly check-in,"Discuss the emotional tone and stability of the week with your wife, noticing where things felt smoother and where tension still arose. This shared reflection helps you stay aligned. Use it to adjust the coming week’s goals.",What felt stable this week?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
89,Write identity statement,"Create a clear identity statement such as 'I stay calm, speak clearly, and keep my word,' and write it down as a grounding reminder. This statement reinforces your long-term growth and the person you are becoming. Revisit it whenever you feel off-center.",What identity did you write?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
90,Final conversation,"Have a closing 90-day conversation with your wife where you reflect on the growth you’ve made and ask what support she needs going forward. This conversation reinforces accountability and shared vision. Use it to plan how you will maintain progress in the months ahead.",What did you two conclude?,reflection,Daily Reflection,long_text,FALSE,outburst_level,Outburst Level,scale,FALSE,1|2|3|4|5|6|7,dependability_level,Dependability,scale,FALSE,1|2|3|4|5|6|7,assertiveness_level,Assertiveness,scale,FALSE,1|2|3|4|5|6|7,
